Country,GDPPC,Population,PercentWorld
Rwanda,1608,10996891,0.001552145
Kiribati,1562,106461,1.50263E-05
Mali,1493,16259000,0.00229486
Ethiopia,1427,90076012,0.012713685
Guinea-Bissau,1411,1788000,0.000252365
Madagascar,1398,21842167,0.00308289
Togo,1390,7171000,0.001012143
Guinea,1321,10628972,0.001500215
Eritrea,1197,6738000,0.000951028
Mozambique,1046,25727911,0.003631339
Liberia,887,4503000,0.000635571
Burundi,877,9823827,0.001386574
Malawi,748,16310431,0.002302119
Democratic Republic of the Congo,655,71246000,0.010055942
Central African Republic,604,4803000,0.000677914
