"RouteNo","Direction","ShoulderWidth","RdwyWidth","NumOfLanes","LaneWidth","UrbanRural","Terrain","RampDensity","EndARM","BeginARM"
"005","i",7.00,36.00,3,12.00,"U","Level",2.41,181.31,181.16
"005","i",7.00,36.00,3,12.00,"U","Level",2.41,181.63,181.31
"005","i",7.00,36.00,3,12.00,"U","Level",2.66,182.00,181.63
"005","i",7.00,36.00,3,12.00,"U","Level",2.50,182.05,182.00
"005","i",6.20,38.20,3,12.50,"U","Level",2.31,182.78,182.05
"005","i",7.00,36.00,3,12.00,"U","Level",2.18,183.44,182.78
"005","i",7.00,36.00,3,12.00,"U","Level",2.00,183.44,183.44
"005","i",7.00,36.00,3,12.00,"U","Level",2.00,183.59,183.44
"005","i",7.50,36.00,3,12.00,"U","Level",2.01,184.47,183.59
"005","i",8.00,36.00,3,12.00,"U","Level",1.72,186.18,184.47
"005","i",8.00,36.00,3,12.00,"U","Level",1.70,186.87,186.18
"005","i",8.00,36.00,3,12.00,"U","Level",1.93,187.55,186.87
"005","i",8.00,36.00,3,12.00,"U","Level",1.66,188.11,187.55
"005","i",8.00,36.00,3,12.00,"U","Level",1.66,188.66,188.11
"005","i",10.00,37.50,3,12.00,"U","Level",1.98,189.57,188.66
"005","i",10.00,48.00,4,12.00,"U","Level",2.00,189.97,189.57
"005","i",8.70,47.70,3,12.00,"U","Level",2.08,191.77,189.97
"005","i",10.00,37.50,3,12.00,"U","Level",2.16,192.12,191.77
"005","i",6.20,36.60,3,12.00,"U","Level",2.01,192.93,192.12
"005","i",0.00,41.70,3,14.00,"U","Level",1.54,193.35,192.93
"005","i",0.00,38.70,3,13.00,"U","Level",1.50,193.60,193.35
"005","i",0.00,46.20,3,12.50,"U","Level",1.50,194.44,193.60
"005","i",0.00,45.00,3,12.00,"U","Level",1.50,194.44,194.44
"005","i",0.00,37.20,3,12.00,"U","Level",1.33,198.56,194.49
