"LOOPID","STAMP","FLAGS","FLAG2","SPEED","LENGTH","BIN1","BIN2","BIN3","BIN4"
8791,2012/6/13 12:26:40,0,8,692.00,0.00,5,3,0,0
8791,2012/6/13 12:27:00,0,8,686.00,0.00,10,1,0,0
8791,2012/6/13 12:27:20,0,8,690.00,0.00,5,0,1,0
8791,2012/6/13 12:27:40,0,8,651.00,0.00,9,0,1,0
8791,2012/6/13 12:28:00,0,8,673.00,0.00,11,0,0,0
8791,2012/6/13 12:28:20,0,8,674.00,0.00,10,0,1,0
8791,2012/6/13 12:28:40,0,8,673.00,0.00,3,0,0,0
8791,2012/6/13 12:29:00,0,8,610.00,0.00,8,2,0,0
8791,2012/6/13 12:29:20,0,8,647.00,0.00,8,3,0,0
8791,2012/6/13 12:29:40,0,8,647.00,0.00,8,0,0,0
8791,2012/6/13 12:30:00,0,8,632.00,0.00,11,4,1,0
8791,2012/6/13 12:30:20,0,8,646.00,0.00,4,4,0,0
8791,2012/6/13 12:30:40,0,8,656.00,0.00,2,2,0,0
8791,2012/6/13 12:31:00,0,8,700.00,0.00,6,0,0,0
8791,2012/6/13 12:31:20,0,8,573.00,0.00,7,6,0,1
8791,2012/6/13 12:31:40,0,8,632.00,0.00,9,0,0,0
8791,2012/6/13 12:32:00,0,8,691.00,0.00,7,1,0,0
8791,2012/6/13 12:32:20,0,8,680.00,0.00,4,1,0,0
8791,2012/6/13 12:32:40,0,8,662.00,0.00,10,1,1,0
8791,2012/6/13 12:33:00,0,8,704.00,0.00,4,2,0,0
8791,2012/6/13 12:33:20,0,8,690.00,0.00,7,0,0,0
8791,2012/6/13 12:33:40,0,8,633.00,0.00,9,1,0,0
8791,2012/6/13 12:34:00,0,8,704.00,0.00,7,0,0,0
8791,2012/6/13 12:34:20,0,8,660.00,0.00,6,1,1,0
8791,2012/6/13 12:34:40,0,8,685.00,0.00,5,0,0,1
8791,2012/6/13 12:35:00,0,8,639.00,0.00,6,1,0,0
8791,2012/6/13 12:35:20,0,8,665.00,0.00,10,1,0,0
8791,2012/6/13 12:35:40,0,8,650.00,0.00,6,1,0,0
8791,2012/6/13 12:36:00,0,8,671.00,0.00,7,0,0,0
8791,2012/6/13 12:36:20,0,8,681.00,0.00,3,1,0,0
8791,2012/6/13 12:36:40,0,8,690.00,0.00,6,1,0,0
8791,2012/6/13 12:37:00,0,8,681.00,0.00,5,2,0,0
8791,2012/6/13 12:37:20,0,8,685.00,0.00,7,2,0,0
8791,2012/6/13 12:37:40,0,8,672.00,0.00,7,0,0,0
8791,2012/6/13 12:38:00,0,8,653.00,0.00,4,3,1,0
8791,2012/6/13 12:38:20,0,8,643.00,0.00,6,3,0,1
8791,2012/6/13 12:38:40,0,8,653.00,0.00,9,1,0,0
8791,2012/6/13 12:39:00,0,8,682.00,0.00,8,0,0,0
8791,2012/6/13 12:39:20,0,8,587.00,0.00,7,2,0,0
8791,2012/6/13 12:39:40,0,8,652.00,0.00,10,1,0,0
8791,2012/6/13 12:40:00,0,8,652.00,0.00,3,0,0,0
8791,2012/6/13 12:40:20,0,8,643.00,0.00,4,3,1,0
8791,2012/6/13 12:40:40,0,8,635.00,0.00,8,0,1,0
8791,2012/6/13 12:41:00,0,8,663.00,0.00,7,0,0,0
8791,2012/6/13 12:41:20,0,8,680.00,0.00,7,1,0,0
8791,2012/6/13 12:41:40,0,8,577.00,0.00,9,1,0,0
8791,2012/6/13 12:42:00,0,8,475.00,0.00,6,1,0,0
8791,2012/6/13 12:42:20,0,8,620.00,0.00,7,2,0,0
8791,2012/6/13 12:42:40,0,8,740.00,0.00,2,0,0,0
8791,2012/6/13 12:43:00,0,8,650.00,0.00,5,4,0,0
8791,2012/6/13 12:43:20,0,8,659.00,0.00,7,1,0,0
8791,2012/6/13 12:43:40,0,8,648.00,0.00,8,1,0,0
8791,2012/6/13 12:44:00,0,8,651.00,0.00,9,0,0,0
8791,2012/6/13 12:44:20,0,8,608.00,0.00,4,1,0,0
8791,2012/6/13 12:44:40,0,8,651.00,0.00,12,0,1,0
8791,2012/6/13 12:45:00,0,8,642.00,0.00,11,0,0,0
8791,2012/6/13 12:45:20,0,8,656.00,0.00,12,0,0,0
8791,2012/6/13 12:45:40,0,8,686.00,0.00,5,3,0,0
8791,2012/6/13 12:46:00,0,8,681.00,0.00,4,1,1,1
8791,2012/6/13 12:46:20,0,8,675.00,0.00,8,2,0,0
8791,2012/6/13 12:46:40,0,8,711.00,0.00,5,1,0,0
8791,2012/6/13 12:47:00,0,8,673.00,0.00,8,1,0,0
8791,2012/6/13 12:47:20,0,8,694.00,0.00,9,0,0,0
8791,2012/6/13 12:47:40,0,8,680.00,0.00,6,3,0,0
8791,2012/6/13 12:48:00,0,8,663.00,0.00,6,2,0,0
