WKT,ADCODE,ID,NAME,DIRDESC,FNAME,TNAME,LENGTH,ROADCLASS
"MULTILINESTRING ((116.470308 39.992788,116.46998 39.992986,116.469154 39.993576,116.468961 39.993748,116.468806 39.993909,116.468586 39.994199,116.468473 39.99437,116.468307 39.994773,116.468237 39.995105,116.46821 39.99547,116.468167 39.996677,116.468146 39.996897,116.468124 39.997208,116.468119 39.997283,116.468092 39.997669,116.468098 39.997863,116.468055 39.999016,116.467926 40.001194,116.467926 40.001221,116.467926 40.001274,116.467947 40.001628,116.467942 40.001725,116.467931 40.001966,116.467915 40.00239,116.467899 40.002562,116.467888 40.002712,116.467813 40.004332,116.467792 40.004681,116.467781 40.004944,116.467781 40.005019,116.467776 40.005212,116.467749 40.006043,116.467738 40.006285,116.467717 40.006698,116.46769 40.007368,116.467685 40.007519,116.467647 40.008849,116.467609 40.009745,116.467593 40.010152,116.467583 40.010448,116.467518 40.011467,116.467507 40.011606,116.467486 40.011955,116.467465 40.012207,116.467454 40.012352,116.467432 40.01306,116.4674 40.013827,116.467384 40.014235),(116.467384 40.01431,116.467309 40.015866,116.467304 40.015951,116.467255 40.017158,116.467202 40.018151,116.467202 40.01829,116.467196 40.018446,116.467164 40.01902,116.467111 40.019975,116.4671 40.020216,116.467094 40.020522))",110000,1395,广顺北大街,由南向北,阜通西大街,来广营北路,3894,44000
"LINESTRING (116.466891 40.020205,116.466912 40.01946,116.466933 40.01843,116.466939 40.018274,116.466944 40.018151,116.466998 40.01704,116.467009 40.015967,116.467019 40.015887,116.467052 40.015495,116.4671 40.014262,116.467116 40.013934,116.467132 40.013554,116.467186 40.012352,116.467191 40.012207,116.467207 40.011944,116.467223 40.011606,116.467229 40.011467,116.467282 40.010431,116.467298 40.01012,116.467379 40.008854,116.467448 40.007529,116.467459 40.007084,116.467465 40.006805,116.467475 40.006022,116.467507 40.005668,116.467529 40.005201,116.467534 40.005013,116.467534 40.004933,116.467545 40.004681,116.467593 40.004096,116.46769 40.001961,116.467706 40.001704,116.467711 40.001612,116.467706 40.001274,116.467711 40.001221,116.467711 40.001178,116.467727 40.000695,116.467781 39.999279,116.467797 39.998903,116.467851 39.997664,116.467888 39.997272,116.467894 39.997197,116.467915 39.996886,116.467969 39.995829,116.467969 39.995728,116.467974 39.99569,116.468001 39.995164,116.468039 39.99488,116.468076 39.99473,116.468157 39.994515,116.468269 39.994295,116.46828 39.994268,116.468393 39.994086,116.468554 39.993866,116.468704 39.9937,116.468918 39.993507,116.469085 39.993367,116.469857 39.992836,116.470147 39.992654)",110000,1001395,广顺北大街,由北向南,来广营北路,广顺南大街口,3916,44000
"LINESTRING (116.470249 39.992589,116.47056 39.992386,116.471461 39.991785,116.471928 39.991474,116.473355 39.990524,116.47358 39.990385,116.473811 39.990234,116.473843 39.990213,116.474261 39.989939,116.474551 39.989746,116.475136 39.989365,116.475602 39.98906,116.476439 39.988496,116.477051 39.988067,116.47711 39.98803,116.477292 39.987906,116.477582 39.987713,116.477968 39.987466,116.478757 39.986925,116.479223 39.986597,116.479636 39.986324,116.479985 39.986072,116.480457 39.985739,116.480833 39.985482,116.481149 39.985272,116.481246 39.985203,116.481578 39.984988,116.48226 39.984532,116.482587 39.984334)",110000,1396,广顺南大街,由西向东,广顺南大街口,万红西街口,1343,44000
"LINESTRING (116.482726 39.984468,116.482399 39.984698,116.481755 39.985127,116.481417 39.985337,116.481283 39.985433,116.480967 39.985637,116.479824 39.98642,116.478864 39.987107,116.478537 39.987343,116.478145 39.987627,116.47777 39.987879,116.477496 39.988067,116.477437 39.988105,116.477271 39.988207,116.477051 39.988346,116.47593 39.989086,116.475061 39.989666,116.474642 39.989945,116.474192 39.990234,116.473993 39.990363,116.473709 39.990556,116.473494 39.990701,116.472652 39.991254,116.472555 39.991318,116.471794 39.991817,116.471407 39.99208,116.470699 39.992536,116.470404 39.992723)",110000,1001396,广顺南大街,由东向西,京密路,广顺南大街口,1329,44000
"LINESTRING (116.478547 40.004949,116.478499 40.006011,116.478451 40.007202,116.47844 40.007358,116.478429 40.007679,116.478376 40.008634,116.47837 40.008731,116.478338 40.009723,116.478311 40.010142,116.478301 40.010254,116.478295 40.010383,116.478247 40.01144,116.478236 40.011601,116.478204 40.012073,116.478199 40.012207,116.478177 40.012588,116.47814 40.013387,116.478043 40.015565,116.478027 40.015951,116.477984 40.016863,116.477936 40.017325,116.477904 40.017448,116.477813 40.017657)",110000,1409,广泽路,由南向北,河荫中路,,1379,44000
"LINESTRING (116.477754 40.017641,116.477872 40.017352,116.477904 40.01718,116.477936 40.016858,116.477973 40.015951,116.477984 40.015571,116.478086 40.013387,116.478124 40.012583,116.478134 40.012207,116.478145 40.011595,116.47815 40.01144,116.478172 40.010523,116.478177 40.010378,116.478252 40.008726,116.478258 40.008634,116.478333 40.007674,116.478349 40.007395,116.478354 40.007229,116.478381 40.006016,116.478429 40.00496)",110000,1001409,广泽路,由北向南,,河荫中路,1377,44000
"LINESTRING (116.468248 39.997219,116.468521 39.997251,116.468714 39.997321,116.468865 39.997401,116.469144 39.997627,116.470356 39.998721,116.471601 39.999799,116.47167 39.999864,116.472368 40.000545,116.472641 40.000792,116.47307 40.001221,116.473119 40.001269,116.473167 40.001317,116.473365 40.001553,116.473435 40.001736,116.473451 40.001811,116.473446 40.001961,116.473408 40.002556,116.473403 40.002701,116.473365 40.003753,116.473349 40.003999,116.473317 40.004579,116.473312 40.00504,116.473306 40.005265)",110000,1526,宏昌路,由南向北,湖光中街东口,河荫中路,1041,44000
"LINESTRING (116.473237 40.00526,116.473231 40.004649,116.473264 40.003994,116.473285 40.003747,116.473312 40.002696,116.473333 40.001961,116.473339 40.001805,116.473312 40.001704,116.473274 40.001623,116.473086 40.001382,116.472979 40.001269,116.472936 40.001221,116.472813 40.001108,116.472555 40.000872,116.471568 39.999928,116.471499 39.999864,116.470871 39.999295,116.470817 39.999247,116.470286 39.998764,116.470217 39.998699,116.469069 39.99768,116.468816 39.997466,116.46872 39.997407,116.468575 39.997348,116.468242 39.997294)",110000,1001526,宏昌路,由北向南,河荫中路,湖光中街东口,1022,44000
"LINESTRING (116.468044 40.001639,116.468301 40.001655,116.469734 40.001682,116.471574 40.001746,116.472432 40.001773,116.472668 40.001779,116.473339 40.001805,116.473451 40.001811,116.474068 40.001843,116.4755 40.001891,116.475538 40.001891,116.47637 40.001923,116.477051 40.00194,116.477351 40.00195,116.478451 40.001993)",110000,1564,宏泰西街,由西向东,广顺北大街,宏泰西街东口,871,44000
"LINESTRING (116.478446 40.002079,116.477351 40.002031,116.477051 40.00202,116.47623 40.001993,116.475533 40.001966,116.475495 40.001966,116.473446 40.001902,116.473333 40.001897,116.472432 40.001864,116.471558 40.001832,116.469696 40.001768,116.468044 40.00173)",110000,1001564,宏泰西街,由东向西,阜安西路,广顺北大街,872,44000
